time,N_1_x,N_1_y,N_1_z,N_2_x,N_2_y,N_2_z,C_3_x,C_3_y,C_3_z,H_4_x,H_4_y,H_4_z,H_5_x,H_5_y,H_5_z,H_6_x,H_6_y,H_6_z,C_7_x,C_7_y,C_7_z,H_8_x,H_8_y,H_8_z,H_9_x,H_9_y,H_9_z,H_10_x,H_10_y,H_10_z
18.0,-0.7184826331,-0.0524535368,-0.7612400695,0.6060041026,-0.1403126005,-0.5676839726,1.4639579518,0.1453346146,0.507154601,1.354388828,1.1905551585,0.8003773253,1.2408918949,-0.477726474,1.6398897504,2.6381917833,0.065547686,0.2016106181,-1.3752088342,-0.0617225864,0.6141110308,-0.8958212896,0.5837184448,1.3199132481,-2.5051798978,0.0548840037,0.7265313382,-1.1515275615,-0.9128716332,1.136637855
19.0,-0.7223634901,-0.0488303339,-0.7587624638,0.6022385361,-0.1460570052,-0.5572954363,1.4733433871,0.1385750249,0.5094260432,1.3510620644,1.214501238,0.8122727571,1.2821698524,-0.3999228022,1.595602844,2.6194908308,0.0759115744,0.163827191,-1.3739685918,-0.0584731494,0.6038587359,-0.890972237,0.6217468952,1.3624597167,-2.5683727349,0.0267167564,0.7024433986,-1.1328411828,-0.9636327168,1.1045237134
20.0,-0.7252495696,-0.0448217927,-0.7549619437,0.5965186365,-0.1525620639,-0.5468990497,1.4849904633,0.1332872393,0.5137716089,1.3504057575,1.2301268377,0.8201809768,1.3291825341,-0.3173789177,1.5179715758,2.5703737444,0.08233416,0.1352277507,-1.3739269204,-0.054828824,0.5948477679,-0.8946280424,0.6618577199,1.3895915923,-2.5998758346,0.0001901922,0.6662566515,-1.1146541192,-1.0276069067,1.0701039509
21.0,-0.7270670069,-0.0403285279,-0.749955387,0.5888584654,-0.159832307,-0.5364993107,1.4983169487,0.1309989846,0.5187562547,1.3539129289,1.2343791922,0.8210244705,1.3773891002,-0.2446012177,1.4270709777,2.5011844729,0.0845655231,0.1150185519,-1.3749562051,-0.0517284766,0.5879682045,-0.9109252983,0.6947392966,1.3950302244,-2.5946359655,-0.0237578932,0.620170917,-1.1009877772,-1.0869407044,1.0294288691
22.0,-0.7277686985,-0.0352624531,-0.7438797358,0.5793674325,-0.1678585871,-0.5260450699,1.5122227477,0.133688616,0.5209055886,1.3623562327,1.2278483544,0.813356779,1.4192504772,-0.2052733021,1.3691323151,2.4316971816,0.0822523421,0.0981012374,-1.37686887,-0.049985731,0.5833908151,-0.9406912791,0.714907766,1.3770906631,-2.5536236434,-0.0439543454,0.5668933934,-1.0943615413,-1.1290957927,0.982317478
23.0,-0.7273318388,-0.0295431875,-0.7369029004,0.5682625148,-0.1766224241,-0.5154660242,1.5247576013,0.1429330207,0.5169069553,1.3757964495,1.2135387241,0.797297214,1.4494005283,-0.22053837,1.3922109456,2.389967143,0.0745586512,0.0738268019,-1.379306646,-0.0501801493,0.5807397522,-0.9823065442,0.7204200354,1.3379887023,-2.4846284176,-0.0592991835,0.5093108733,-1.0957312953,-1.1475028819,0.9314160851
24.0,-0.7257529409,-0.0230890109,-0.7292377843,0.5558770759,-0.1860874596,-0.5047271766,1.5338170284,0.1574337882,0.5093506472,1.3935288186,1.1968630562,0.7745184594,1.4720511955,-0.27980261,1.4723490995,2.3967456155,0.0602303481,0.0323044656,-1.3814363258,-0.0527526579,0.5792505523,-1.0319374937,0.7134680989,1.2840739039,-2.4055904933,-0.0690958185,0.4496391997,-1.1047923527,-1.1407336575,0.8810672167
25.0,-0.7230498004,-0.01581182,-0.7211542414,0.5427110161,-0.1961894018,-0.4937786517,1.539651814,0.1740708581,0.5019752028,1.4140688058,1.1860291083,0.7485362899,1.4928439712,-0.3559717158,1.5558951704,2.443207069,0.0397252929,-0.0221751557,-1.3818254451,-0.0581080404,0.5779197754,-1.0835416791,0.7017770952,1.22653655,-2.3461003533,-0.0733886624,0.3875793127,-1.1200687988,-1.1123764887,0.8367149691
26.0,-0.7192592423,-0.0076188496,-0.7129666589,0.5294462367,-0.2068380592,-0.4825104102,1.544280904,0.189902638,0.495451184,1.4356548906,1.1906036186,0.7239664199,1.5139542331,-0.4291303078,1.613406856,2.5020504077,0.0165384561,-0.0746867174,-1.3795311618,-0.0665343753,0.5756000501,-1.1299252628,0.6986454371,1.1803352469,-2.3335583245,-0.0727635072,0.3202503451,-1.1386953272,-1.0722080077,0.8046994222
27.0,-0.7144412674,0.001577593,-0.7049880945,0.5168709062,-0.2179361376,-0.470784076,1.5493479489,0.2029385369,0.4891753368,1.4572169674,1.2159189825,0.7041898679,1.5356724281,-0.4876360095,1.634338679,2.5510907342,-0.0050469222,-0.11297123,-1.3760296006,-0.0775531146,0.5709508897,-1.1662456651,0.7162508607,1.157590762,-2.3663574876,-0.0678437145,0.2490365861,-1.1562689944,-1.037607238,0.7919918628
28.0,-0.7087075536,0.0118403042,-0.6974592009,0.5057638852,-0.2294029334,-0.4584802507,1.5556270683,0.2125035708,0.4826748214,1.4787525929,1.2574028114,0.6896342701,1.5576551442,-0.5246452754,1.6162532564,2.5784297514,-0.0217342898,-0.1310025646,-1.3742811312,-0.0891606218,0.5629696322,-1.1932762421,0.7534047908,1.1584989377,-2.4193244413,-0.059977446,0.182750692,-1.1681844617,-1.0294190275,0.8048207085
29.0,-0.7022311268,0.0231847067,-0.6904945508,0.4967956837,-0.2411802748,-0.4455303613,1.5633491307,0.2189137192,0.4758395268,1.5006036487,1.3027553474,0.6785414076,1.5793250144,-0.535952521,1.5601175756,2.5795180389,-0.0314432654,-0.1274268465,-1.3763859726,-0.0991668104,0.5516944795,-1.215093805,0.7956188457,1.1729224431,-2.4694693689,-0.0513963399,0.1307157961,-1.1732240097,-1.0557714136,0.8449328556
30.0,-0.6952000322,0.0355687781,-0.6840941738,0.4904523404,-0.2532175062,-0.431932895,1.5724575422,0.2228153117,0.4687529059,1.5226841377,1.3391403562,0.6687634605,1.5999194996,-0.5193827752,1.4695130982,2.5551207931,-0.0331663348,-0.1044138992,-1.3831265415,-0.1071924167,0.5381049261,-1.2351317398,0.8273801666,1.1895717775,-2.5037568357,-0.0443244669,0.098587379,-1.1750568195,-1.1016052318,0.9060215685
31.0,-0.6877508059,0.0489029623,-0.6781977892,0.4869789416,-0.2654562631,-0.4177501962,1.5825834872,0.2249379492,0.4614561401,1.544356997,1.3577495409,0.6587645563,1.618448811,-0.4761589559,1.3528197936,2.5118628069,-0.0271779469,-0.068078461,-1.3945864011,-0.1140670963,0.5235757159,-1.2551758055,0.8389331678,1.2005465322,-2.5165629902,-0.0405224294,0.0884731566,-1.1786407601,-1.1434739107,0.9763196729
32.0,-0.6799369633,0.0630793536,-0.6727299189,0.4863634101,-0.2778316887,-0.403074595,1.5927816893,0.2265075594,0.4535000364,1.5646446575,1.3548235548,0.6478476432,1.6338356125,-0.4159712929,1.2295618762,2.4649083997,-0.0158145193,-0.0300388055,-1.4105630047,-0.1205993619,0.509373021,-1.2758197374,0.826445468,1.2015201389,-2.5073698553,-0.0412820998,0.0996922918,-1.187254566,-1.1648391547,1.0441322048
